"year","zone","group","destination","measure","value"
"2009-2010","S01001816","All","All","Count",7
"2007-2008","S01001816","All","All","Count",8
"2011-2012","S01001816","All","All","Count",7
"2010-2011","S01001816","All","All","Count",4
"2008-2009","S01001816","All","All","Count",3
"2008-2009","S01001816","All","Positive","Ratio",100
"2009-2010","S01001816","All","Positive","Ratio",100
"2010-2011","S01001816","All","Positive","Ratio",100
"2007-2008","S01001816","All","Positive","Ratio",100
"2011-2012","S01001816","All","Positive","Ratio",100
"2012-2013","S01001816","All","Positive","Ratio",100
"2010-2011","S01001816","All","Other Known","Ratio",0
"2008-2009","S01001816","All","Other Known","Ratio",0
"2009-2010","S01001816","All","Other Known","Ratio",0
"2011-2012","S01001816","All","Other Known","Ratio",0
"2012-2013","S01001816","All","Other Known","Ratio",0
"2007-2008","S01001816","All","Other Known","Ratio",0
"2012-2013","S01001817","All","All","Count",6
"2009-2010","S01001817","All","All","Count",5
"2007-2008","S01001817","All","All","Count",8
"2011-2012","S01001817","All","All","Count",8
"2010-2011","S01001817","All","All","Count",6
"2008-2009","S01001817","All","All","Count",8
"2008-2009","S01001817","All","Positive","Ratio","87.5"
"2009-2010","S01001817","All","Positive","Ratio",80
"2010-2011","S01001817","All","Positive","Ratio","66.7"
"2007-2008","S01001817","All","Positive","Ratio","62.5"
"2011-2012","S01001817","All","Positive","Ratio",75
"2012-2013","S01001817","All","Positive","Ratio",100
"2010-2011","S01001817","All","Other Known","Ratio","33.3"
"2008-2009","S01001817","All","Other Known","Ratio","12.5"
"2009-2010","S01001817","All","Other Known","Ratio",20
"2011-2012","S01001817","All","Other Known","Ratio",25
"2012-2013","S01001817","All","Other Known","Ratio",0
"2007-2008","S01001817","All","Other Known","Ratio","37.5"
"2012-2013","S01001818","All","All","Count",10
"2009-2010","S01001818","All","All","Count",3
"2007-2008","S01001818","All","All","Count",5
"2011-2012","S01001818","All","All","Count",6
"2010-2011","S01001818","All","All","Count",9
"2008-2009","S01001818","All","All","Count",4
"2008-2009","S01001818","All","Positive","Ratio",100
"2009-2010","S01001818","All","Positive","Ratio",100
"2010-2011","S01001818","All","Positive","Ratio",100
"2007-2008","S01001818","All","Positive","Ratio",100
"2011-2012","S01001818","All","Positive","Ratio",100
"2012-2013","S01001818","All","Positive","Ratio",100
"2010-2011","S01001818","All","Other Known","Ratio",0
"2008-2009","S01001818","All","Other Known","Ratio",0
"2009-2010","S01001818","All","Other Known","Ratio",0
"2011-2012","S01001818","All","Other Known","Ratio",0
"2012-2013","S01001818","All","Other Known","Ratio",0
"2007-2008","S01001818","All","Other Known","Ratio",0
"2012-2013","S01001819","All","All","Count",6
"2009-2010","S01001819","All","All","Count",3
"2007-2008","S01001819","All","All","Count",4
"2011-2012","S01001819","All","All","Count",10
"2010-2011","S01001819","All","All","Count",4
"2008-2009","S01001819","All","All","Count",2
"2008-2009","S01001819","All","Positive","Ratio",50
"2009-2010","S01001819","All","Positive","Ratio",100
"2010-2011","S01001819","All","Positive","Ratio",100
"2007-2008","S01001819","All","Positive","Ratio",75
"2011-2012","S01001819","All","Positive","Ratio",90
"2012-2013","S01001819","All","Positive","Ratio",100
"2010-2011","S01001819","All","Other Known","Ratio",0
"2008-2009","S01001819","All","Other Known","Ratio",50
"2009-2010","S01001819","All","Other Known","Ratio",0
"2011-2012","S01001819","All","Other Known","Ratio",10
"2012-2013","S01001819","All","Other Known","Ratio",0
"2007-2008","S01001819","All","Other Known","Ratio",25
"2012-2013","S01001820","All","All","Count",10
"2009-2010","S01001820","All","All","Count",10
"2007-2008","S01001820","All","All","Count",11
"2011-2012","S01001820","All","All","Count",12
"2010-2011","S01001820","All","All","Count",10
